# Too few sequence #1
# Number of KBar units = 2106
084500 084501 8399.0 8403.0 8399.0 8403.0
084500 084503 8399.0 8408.0 8399.0 8408.0
084500 084505 8399.0 8408.0 8399.0 8408.0
084500 084507 8399.0 8408.0 8399.0 8407.0
084500 084509 8399.0 8408.0 8399.0 8405.0
084500 084511 8399.0 8408.0 8399.0 8406.0
084500 084515 8399.0 8408.0 8399.0 8404.0
084500 084516 8399.0 8408.0 8399.0 8402.0
084500 084518 8399.0 8408.0 8399.0 8399.0
084500 084519 8399.0 8408.0 8399.0 8399.0
084500 084521 8399.0 8408.0 8399.0 8400.0
084500 084526 8399.0 8408.0 8398.0 8398.0
084500 084535 8399.0 8408.0 8398.0 8399.0
084500 084536 8399.0 8408.0 8398.0 8400.0
084500 084538 8399.0 8408.0 8397.0 8397.0
084500 084539 8399.0 8408.0 8397.0 8397.0
084500 084540 8399.0 8408.0 8397.0 8399.0
084500 084543 8399.0 8408.0 8397.0 8401.0
084500 084544 8399.0 8408.0 8397.0 8402.0
084500 084547 8399.0 8408.0 8397.0 8401.0
084500 084554 8399.0 8408.0 8397.0 8402.0
084500 084556 8399.0 8408.0 8397.0 8402.0
084500 084558 8399.0 8408.0 8397.0 8401.0
084500 084600 8399.0 8408.0 8397.0 8401.0
084503 084602 8408.0 8408.0 8397.0 8402.0
084507 084607 8407.0 8407.0 8397.0 8401.0
084511 084610 8406.0 8406.0 8397.0 8401.0
084511 084611 8406.0 8406.0 8397.0 8402.0
084515 084612 8404.0 8404.0 8397.0 8402.0
084518 084617 8399.0 8402.0 8397.0 8402.0
084518 084618 8399.0 8402.0 8397.0 8400.0
084521 084621 8400.0 8402.0 8397.0 8398.0
084526 084623 8398.0 8402.0 8397.0 8398.0
084526 084625 8398.0 8402.0 8397.0 8397.0
084526 084626 8398.0 8402.0 8396.0 8396.0
084538 084637 8397.0 8402.0 8393.0 8393.0
084540 084640 8399.0 8402.0 8391.0 8391.0
084543 084641 8401.0 8402.0 8391.0 8391.0
084554 084648 8402.0 8402.0 8391.0 8393.0
084554 084649 8402.0 8402.0 8391.0 8394.0
084554 084650 8402.0 8402.0 8391.0 8394.0
084554 084651 8402.0 8402.0 8391.0 8394.0
084554 084652 8402.0 8402.0 8391.0 8394.0
084554 084653 8402.0 8402.0 8391.0 8395.0
084558 084657 8401.0 8402.0 8391.0 8394.0
084607 084707 8401.0 8402.0 8391.0 8397.0
084610 084709 8401.0 8402.0 8391.0 8398.0
084611 084711 8402.0 8402.0 8391.0 8399.0
084617 084713 8402.0 8402.0 8391.0 8398.0
084617 084715 8402.0 8402.0 8391.0 8398.0
084618 084718 8400.0 8400.0 8391.0 8399.0
084637 084728 8393.0 8399.0 8391.0 8398.0
084648 084743 8393.0 8399.0 8393.0 8396.0
084648 084747 8393.0 8399.0 8393.0 8396.0
084707 084759 8397.0 8399.0 8396.0 8396.0
084707 084801 8397.0 8399.0 8395.0 8395.0
084707 084802 8397.0 8399.0 8394.0 8394.0
084707 084806 8397.0 8399.0 8394.0 8394.0
084713 084813 8398.0 8399.0 8391.0 8391.0
084715 084814 8398.0 8399.0 8391.0 8391.0
084715 084815 8398.0 8399.0 8391.0 8391.0
084728 084820 8398.0 8398.0 8391.0 8394.0
084728 084825 8398.0 8398.0 8391.0 8396.0
084728 084827 8398.0 8398.0 8391.0 8396.0
084747 084845 8396.0 8396.0 8391.0 8395.0
084747 084846 8396.0 8397.0 8391.0 8397.0
084759 084848 8396.0 8398.0 8391.0 8398.0
084759 084849 8396.0 8398.0 8391.0 8398.0
084759 084850 8396.0 8400.0 8391.0 8400.0
084759 084851 8396.0 8402.0 8391.0 8402.0
084759 084854 8396.0 8402.0 8391.0 8401.0
084759 084856 8396.0 8403.0 8391.0 8403.0
084806 084903 8394.0 8403.0 8391.0 8402.0
084806 084905 8394.0 8405.0 8391.0 8405.0
084806 084906 8394.0 8406.0 8391.0 8406.0
084813 084907 8391.0 8407.0 8391.0 8407.0
084813 084908 8391.0 8407.0 8391.0 8406.0
084813 084913 8391.0 8410.0 8391.0 8410.0
084820 084916 8394.0 8411.0 8394.0 8411.0
084820 084917 8394.0 8412.0 8394.0 8412.0
084827 084927 8396.0 8413.0 8395.0 8413.0
084845 084942 8395.0 8413.0 8395.0 8411.0
084845 084944 8395.0 8413.0 8395.0 8410.0
084845 084945 8395.0 8413.0 8395.0 8411.0
084854 084954 8401.0 8413.0 8401.0 8412.0
084903 084959 8402.0 8413.0 8402.0 8413.0
084903 085002 8402.0 8413.0 8402.0 8413.0
084908 085008 8406.0 8413.0 8406.0 8411.0
084913 085009 8410.0 8413.0 8409.0 8409.0
084913 085010 8410.0 8413.0 8409.0 8409.0
084913 085011 8410.0 8413.0 8409.0 8409.0
084916 085015 8411.0 8413.0 8409.0 8409.0
084917 085017 8412.0 8413.0 8409.0 8409.0
084927 085026 8413.0 8413.0 8409.0 8409.0
084942 085036 8411.0 8413.0 8409.0 8411.0
084942 085039 8411.0 8413.0 8409.0 8412.0
084942 085041 8411.0 8413.0 8409.0 8412.0
