# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Number of KBar units = 6005
084500 084500 8378.0 8379.0 8378.0 8379.0
084500 084500 8378.0 8379.0 8378.0 8379.0
084500 084500 8378.0 8380.0 8378.0 8380.0
084500 084500 8378.0 8381.0 8378.0 8381.0
084500 084500 8378.0 8384.0 8378.0 8384.0
084500 084500 8378.0 8384.0 8378.0 8384.0
084500 084500 8378.0 8386.0 8378.0 8386.0
084500 084500 8378.0 8386.0 8378.0 8386.0
084500 084500 8378.0 8386.0 8378.0 8386.0
084500 084500 8378.0 8386.0 8378.0 8386.0
084500 084500 8378.0 8386.0 8378.0 8386.0
084500 084500 8378.0 8386.0 8378.0 8386.0
084500 084500 8378.0 8386.0 8378.0 8386.0
084500 084500 8378.0 8386.0 8378.0 8386.0
084500 084500 8378.0 8387.0 8378.0 8387.0
084500 084500 8378.0 8387.0 8378.0 8387.0
084500 084500 8378.0 8387.0 8378.0 8387.0
084500 084500 8378.0 8387.0 8378.0 8387.0
084500 084500 8378.0 8387.0 8378.0 8387.0
084500 084500 8378.0 8387.0 8378.0 8387.0
084500 084500 8378.0 8387.0 8378.0 8387.0
084500 084500 8378.0 8387.0 8378.0 8387.0
084500 084500 8378.0 8388.0 8378.0 8388.0
084500 084500 8378.0 8388.0 8378.0 8388.0
084500 084500 8378.0 8388.0 8378.0 8388.0
084500 084500 8378.0 8388.0 8378.0 8388.0
084500 084500 8378.0 8389.0 8378.0 8389.0
084500 084500 8378.0 8389.0 8378.0 8389.0
084500 084500 8378.0 8389.0 8378.0 8389.0
084500 084500 8378.0 8389.0 8378.0 8389.0
084500 084500 8378.0 8389.0 8378.0 8389.0
084500 084500 8378.0 8389.0 8378.0 8389.0
084500 084500 8378.0 8389.0 8378.0 8389.0
084500 084501 8378.0 8389.0 8378.0 8379.0
084500 084502 8378.0 8389.0 8378.0 8380.0
084500 084503 8378.0 8389.0 8378.0 8381.0
084500 084504 8378.0 8389.0 8378.0 8383.0
084500 084506 8378.0 8389.0 8378.0 8386.0
084500 084506 8378.0 8389.0 8378.0 8387.0
084500 084507 8378.0 8389.0 8378.0 8389.0
084500 084508 8378.0 8389.0 8378.0 8382.0
084500 084508 8378.0 8389.0 8378.0 8385.0
084500 084508 8378.0 8389.0 8378.0 8388.0
084500 084508 8378.0 8389.0 8378.0 8388.0
084500 084511 8378.0 8389.0 8376.0 8376.0
084500 084511 8378.0 8389.0 8376.0 8379.0
084500 084511 8378.0 8389.0 8376.0 8382.0
084500 084511 8378.0 8389.0 8376.0 8385.0
084500 084512 8378.0 8389.0 8376.0 8386.0
084500 084512 8378.0 8389.0 8376.0 8386.0
084500 084512 8378.0 8389.0 8376.0 8386.0
084500 084512 8378.0 8389.0 8376.0 8386.0
084500 084512 8378.0 8389.0 8376.0 8386.0
084500 084513 8378.0 8389.0 8376.0 8386.0
084500 084513 8378.0 8389.0 8376.0 8386.0
084500 084513 8378.0 8389.0 8376.0 8386.0
084500 084513 8378.0 8389.0 8376.0 8386.0
084500 084513 8378.0 8389.0 8376.0 8386.0
084500 084513 8378.0 8389.0 8376.0 8386.0
084500 084514 8378.0 8389.0 8376.0 8380.0
084500 084514 8378.0 8389.0 8376.0 8380.0
084500 084514 8378.0 8389.0 8376.0 8386.0
084500 084514 8378.0 8389.0 8376.0 8386.0
084500 084515 8378.0 8389.0 8376.0 8380.0
084500 084515 8378.0 8389.0 8376.0 8380.0
084500 084515 8378.0 8389.0 8376.0 8386.0
084500 084515 8378.0 8389.0 8376.0 8386.0
084500 084516 8378.0 8389.0 8376.0 8381.0
084500 084516 8378.0 8389.0 8376.0 8387.0
084500 084518 8378.0 8389.0 8376.0 8386.0
084500 084519 8378.0 8389.0 8376.0 8379.0
084500 084519 8378.0 8389.0 8376.0 8385.0
084500 084520 8378.0 8389.0 8376.0 8385.0
084500 084526 8378.0 8389.0 8376.0 8387.0
084500 084526 8378.0 8389.0 8376.0 8387.0
084500 084528 8378.0 8389.0 8376.0 8388.0
084500 084533 8378.0 8389.0 8376.0 8383.0
084500 084533 8378.0 8389.0 8376.0 8383.0
084500 084534 8378.0 8389.0 8376.0 8381.0
084500 084534 8378.0 8389.0 8376.0 8381.0
084500 084534 8378.0 8389.0 8376.0 8381.0
084500 084534 8378.0 8389.0 8376.0 8382.0
084500 084535 8378.0 8389.0 8376.0 8379.0
084500 084535 8378.0 8389.0 8376.0 8379.0
084500 084535 8378.0 8389.0 8376.0 8379.0
084500 084535 8378.0 8389.0 8376.0 8380.0
084500 084535 8378.0 8389.0 8376.0 8380.0
084500 084535 8378.0 8389.0 8376.0 8380.0
084500 084535 8378.0 8389.0 8376.0 8380.0
084500 084535 8378.0 8389.0 8376.0 8380.0
084500 084535 8378.0 8389.0 8376.0 8380.0
084500 084535 8378.0 8389.0 8376.0 8380.0
084500 084535 8378.0 8389.0 8376.0 8380.0
084500 084535 8378.0 8389.0 8376.0 8380.0
084500 084535 8378.0 8389.0 8376.0 8380.0
084500 084535 8378.0 8389.0 8376.0 8380.0
084500 084535 8378.0 8389.0 8376.0 8380.0
084500 084535 8378.0 8389.0 8376.0 8380.0
084500 084535 8378.0 8389.0 8376.0 8381.0
084500 084536 8378.0 8389.0 8376.0 8378.0
084500 084536 8378.0 8389.0 8376.0 8378.0
084500 084536 8378.0 8389.0 8376.0 8378.0
084500 084536 8378.0 8389.0 8376.0 8379.0
084500 084536 8378.0 8389.0 8376.0 8379.0
084500 084537 8378.0 8389.0 8376.0 8378.0
084500 084537 8378.0 8389.0 8376.0 8378.0
084500 084537 8378.0 8389.0 8376.0 8380.0
084500 084538 8378.0 8389.0 8376.0 8377.0
084500 084538 8378.0 8389.0 8376.0 8377.0
084500 084538 8378.0 8389.0 8376.0 8377.0
084500 084538 8378.0 8389.0 8376.0 8377.0
084500 084538 8378.0 8389.0 8376.0 8377.0
084500 084538 8378.0 8389.0 8376.0 8377.0
084500 084538 8378.0 8389.0 8376.0 8377.0
084500 084539 8378.0 8389.0 8375.0 8375.0
084500 084539 8378.0 8389.0 8375.0 8375.0
084500 084539 8378.0 8389.0 8375.0 8376.0
084500 084539 8378.0 8389.0 8375.0 8376.0
084500 084539 8378.0 8389.0 8375.0 8377.0
084500 084539 8378.0 8389.0 8375.0 8377.0
084500 084541 8378.0 8389.0 8375.0 8375.0
084500 084541 8378.0 8389.0 8375.0 8375.0
084500 084541 8378.0 8389.0 8375.0 8375.0
084500 084541 8378.0 8389.0 8375.0 8376.0
084500 084542 8378.0 8389.0 8375.0 8375.0
084500 084542 8378.0 8389.0 8375.0 8376.0
084500 084543 8378.0 8389.0 8375.0 8377.0
084500 084543 8378.0 8389.0 8375.0 8377.0
084500 084543 8378.0 8389.0 8375.0 8377.0
084500 084544 8378.0 8389.0 8375.0 8376.0
084500 084546 8378.0 8389.0 8374.0 8374.0
084500 084546 8378.0 8389.0 8374.0 8376.0
084500 084546 8378.0 8389.0 8374.0 8376.0
084500 084547 8378.0 8389.0 8374.0 8376.0
084500 084548 8378.0 8389.0 8373.0 8373.0
084500 084549 8378.0 8389.0 8373.0 8375.0
084500 084551 8378.0 8389.0 8372.0 8372.0
084500 084552 8378.0 8389.0 8372.0 8372.0
084500 084554 8378.0 8389.0 8368.0 8368.0
084500 084556 8378.0 8389.0 8341.0 8341.0
084500 084556 8378.0 8389.0 8341.0 8367.0
084500 084556 8378.0 8389.0 8341.0 8368.0
084500 084557 8378.0 8389.0 8341.0 8375.0
084501 084601 8379.0 8389.0 8341.0 8376.0
084501 084601 8379.0 8389.0 8341.0 8376.0
084502 084602 8380.0 8389.0 8341.0 8376.0
084502 084602 8380.0 8389.0 8341.0 8376.0
084502 084602 8380.0 8389.0 8341.0 8376.0
084502 084602 8380.0 8389.0 8341.0 8376.0
084502 084602 8380.0 8389.0 8341.0 8376.0
084503 084603 8381.0 8389.0 8341.0 8376.0
084503 084603 8381.0 8389.0 8341.0 8376.0
084506 084606 8386.0 8389.0 8341.0 8372.0
084507 084607 8389.0 8389.0 8341.0 8372.0
084507 084607 8389.0 8389.0 8341.0 8372.0
084507 084607 8389.0 8389.0 8341.0 8372.0
084507 084607 8389.0 8389.0 8341.0 8372.0
084507 084607 8389.0 8389.0 8341.0 8372.0
084508 084608 8382.0 8388.0 8341.0 8372.0
084508 084608 8382.0 8388.0 8341.0 8372.0
084508 084608 8382.0 8388.0 8341.0 8372.0
084508 084608 8382.0 8388.0 8341.0 8373.0
084508 084608 8382.0 8388.0 8341.0 8373.0
084511 084609 8376.0 8388.0 8341.0 8372.0
084511 084609 8376.0 8388.0 8341.0 8372.0
084511 084609 8376.0 8388.0 8341.0 8372.0
084511 084609 8376.0 8388.0 8341.0 8372.0
084511 084609 8376.0 8388.0 8341.0 8372.0
084511 084609 8376.0 8388.0 8341.0 8372.0
084511 084610 8376.0 8388.0 8341.0 8372.0
084512 084612 8386.0 8388.0 8341.0 8373.0
084512 084612 8386.0 8388.0 8341.0 8373.0
084512 084612 8386.0 8388.0 8341.0 8373.0
084512 084612 8386.0 8388.0 8341.0 8373.0
084512 084612 8386.0 8388.0 8341.0 8374.0
084512 084612 8386.0 8388.0 8341.0 8374.0
084513 084613 8386.0 8388.0 8341.0 8374.0
084513 084613 8386.0 8388.0 8341.0 8374.0
084514 084614 8380.0 8388.0 8341.0 8374.0
084515 084615 8380.0 8388.0 8341.0 8373.0
084518 084618 8386.0 8388.0 8341.0 8373.0
084518 084618 8386.0 8388.0 8341.0 8373.0
084518 084618 8386.0 8388.0 8341.0 8373.0
084520 084620 8385.0 8388.0 8341.0 8374.0
084520 084620 8385.0 8388.0 8341.0 8374.0
084520 084620 8385.0 8388.0 8341.0 8374.0
084526 084623 8387.0 8388.0 8341.0 8373.0
084526 084624 8387.0 8388.0 8341.0 8374.0
084526 084624 8387.0 8388.0 8341.0 8374.0
084526 084624 8387.0 8388.0 8341.0 8374.0
084526 084625 8387.0 8388.0 8341.0 8374.0
084526 084626 8387.0 8388.0 8341.0 8368.0
084533 084633 8383.0 8383.0 8341.0 8377.0
084537 084637 8378.0 8380.0 8341.0 8369.0
084539 084639 8375.0 8377.0 8341.0 8375.0
084541 084640 8375.0 8377.0 8341.0 8375.0
084543 084643 8377.0 8377.0 8341.0 8348.0
084551 084650 8372.0 8377.0 8341.0 8377.0
084554 084654 8368.0 8377.0 8341.0 8370.0
084556 084656 8341.0 8379.0 8341.0 8379.0
084557 084657 8375.0 8379.0 8348.0 8378.0
084601 084658 8376.0 8379.0 8348.0 8379.0
084601 084658 8376.0 8379.0 8348.0 8379.0
084601 084659 8376.0 8379.0 8348.0 8379.0
084601 084659 8376.0 8380.0 8348.0 8380.0
084607 084707 8372.0 8382.0 8348.0 8382.0
084613 084713 8374.0 8382.0 8348.0 8380.0
084618 084718 8373.0 8382.0 8348.0 8373.0
084620 084719 8374.0 8382.0 8348.0 8380.0
084620 084719 8374.0 8382.0 8348.0 8380.0
084620 084719 8374.0 8382.0 8348.0 8380.0
084620 084719 8374.0 8382.0 8348.0 8380.0
084620 084720 8374.0 8382.0 8348.0 8380.0
084623 084721 8373.0 8382.0 8348.0 8378.0
084623 084721 8373.0 8382.0 8348.0 8378.0
084623 084721 8373.0 8382.0 8348.0 8378.0
084623 084721 8373.0 8382.0 8348.0 8380.0
084623 084722 8373.0 8382.0 8348.0 8379.0
084623 084722 8373.0 8382.0 8348.0 8379.0
084637 084734 8369.0 8382.0 8348.0 8381.0
084643 084742 8348.0 8382.0 8348.0 8378.0
084643 084742 8348.0 8382.0 8348.0 8378.0
084643 084742 8348.0 8383.0 8348.0 8383.0
084643 084742 8348.0 8383.0 8348.0 8383.0
084643 084742 8348.0 8384.0 8348.0 8384.0
084643 084742 8348.0 8384.0 8348.0 8384.0
084650 084749 8377.0 8384.0 8370.0 8382.0
084657 084757 8378.0 8384.0 8373.0 8381.0
084707 084802 8382.0 8384.0 8373.0 8384.0
084707 084807 8382.0 8384.0 8373.0 8383.0
084720 084820 8380.0 8384.0 8378.0 8378.0
084734 084827 8381.0 8384.0 8378.0 8378.0
084742 084842 8378.0 8386.0 8378.0 8386.0
084742 084842 8378.0 8386.0 8378.0 8386.0
084749 084844 8382.0 8386.0 8378.0 8386.0
084802 084859 8384.0 8386.0 8376.0 8376.0
084802 084900 8384.0 8386.0 8376.0 8381.0
084802 084900 8384.0 8386.0 8376.0 8381.0
084802 084900 8384.0 8386.0 8376.0 8381.0
084802 084900 8384.0 8386.0 8376.0 8381.0
084820 084910 8378.0 8386.0 8376.0 8382.0
084827 084924 8378.0 8386.0 8376.0 8382.0
084827 084925 8378.0 8386.0 8376.0 8382.0
084827 084925 8378.0 8386.0 8376.0 8382.0
084827 084925 8378.0 8386.0 8376.0 8382.0
084827 084925 8378.0 8386.0 8376.0 8382.0
084827 084927 8378.0 8386.0 8376.0 8383.0
084842 084935 8386.0 8386.0 8376.0 8383.0
084859 084947 8376.0 8383.0 8354.0 8354.0
084859 084948 8376.0 8383.0 8351.0 8351.0
084859 084959 8376.0 8384.0 8351.0 8384.0
084900 085000 8381.0 8385.0 8351.0 8385.0
084900 085000 8381.0 8386.0 8351.0 8386.0
084900 085000 8381.0 8388.0 8351.0 8388.0
084900 085000 8381.0 8388.0 8351.0 8388.0
084900 085000 8381.0 8388.0 8351.0 8388.0
084900 085000 8381.0 8388.0 8351.0 8388.0
084900 085000 8381.0 8388.0 8351.0 8388.0
084900 085000 8381.0 8389.0 8351.0 8389.0
084910 085001 8382.0 8390.0 8351.0 8390.0
084910 085002 8382.0 8390.0 8351.0 8384.0
084910 085009 8382.0 8390.0 8351.0 8388.0
084924 085011 8382.0 8390.0 8351.0 8388.0
084947 085040 8354.0 8392.0 8351.0 8392.0
084947 085042 8354.0 8392.0 8351.0 8386.0
084947 085047 8354.0 8392.0 8351.0 8392.0
085040 085124 8392.0 8392.0 8386.0 8387.0
085040 085128 8392.0 8392.0 8386.0 8391.0
085040 085129 8392.0 8392.0 8386.0 8391.0
085040 085131 8392.0 8392.0 8386.0 8391.0
085040 085138 8392.0 8393.0 8386.0 8393.0
085040 085138 8392.0 8393.0 8386.0 8393.0
085040 085138 8392.0 8393.0 8386.0 8393.0
085124 085149 8387.0 8393.0 8364.0 8364.0
085124 085149 8387.0 8393.0 8364.0 8392.0
