# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Number of KBar units = 5745
084500 084500 8371.0 8372.0 8371.0 8372.0
084500 084500 8371.0 8372.0 8371.0 8372.0
084500 084500 8371.0 8372.0 8371.0 8372.0
084500 084500 8371.0 8372.0 8371.0 8372.0
084500 084500 8371.0 8372.0 8371.0 8372.0
084500 084500 8371.0 8372.0 8371.0 8372.0
084500 084500 8371.0 8372.0 8371.0 8372.0
084500 084500 8371.0 8372.0 8371.0 8372.0
084500 084500 8371.0 8372.0 8371.0 8372.0
084500 084500 8371.0 8372.0 8371.0 8372.0
084500 084500 8371.0 8372.0 8371.0 8372.0
084500 084500 8371.0 8373.0 8371.0 8373.0
084500 084500 8371.0 8374.0 8371.0 8374.0
084500 084500 8371.0 8376.0 8371.0 8376.0
084500 084501 8371.0 8376.0 8371.0 8374.0
084500 084502 8371.0 8376.0 8371.0 8376.0
084500 084502 8371.0 8379.0 8371.0 8379.0
084500 084502 8371.0 8379.0 8371.0 8379.0
084500 084502 8371.0 8379.0 8371.0 8379.0
084500 084502 8371.0 8380.0 8371.0 8380.0
084500 084503 8371.0 8380.0 8371.0 8379.0
084500 084503 8371.0 8380.0 8371.0 8380.0
084500 084503 8371.0 8380.0 8371.0 8380.0
084500 084503 8371.0 8380.0 8371.0 8380.0
084500 084504 8371.0 8380.0 8371.0 8377.0
084500 084504 8371.0 8380.0 8371.0 8379.0
084500 084504 8371.0 8381.0 8371.0 8381.0
084500 084504 8371.0 8381.0 8371.0 8381.0
084500 084505 8371.0 8381.0 8371.0 8377.0
084500 084505 8371.0 8381.0 8371.0 8377.0
084500 084507 8371.0 8381.0 8371.0 8379.0
084500 084508 8371.0 8381.0 8371.0 8378.0
084500 084508 8371.0 8381.0 8371.0 8380.0
084500 084509 8371.0 8381.0 8371.0 8377.0
084500 084509 8371.0 8381.0 8371.0 8377.0
084500 084509 8371.0 8381.0 8371.0 8377.0
084500 084510 8371.0 8381.0 8371.0 8377.0
084500 084511 8371.0 8381.0 8371.0 8377.0
084500 084511 8371.0 8381.0 8371.0 8377.0
084500 084512 8371.0 8381.0 8371.0 8378.0
084500 084514 8371.0 8381.0 8371.0 8380.0
084500 084517 8371.0 8382.0 8371.0 8382.0
084500 084517 8371.0 8382.0 8371.0 8382.0
084500 084519 8371.0 8382.0 8371.0 8380.0
084500 084519 8371.0 8382.0 8371.0 8380.0
084500 084519 8371.0 8382.0 8371.0 8382.0
084500 084521 8371.0 8382.0 8371.0 8382.0
084500 084521 8371.0 8382.0 8371.0 8382.0
084500 084521 8371.0 8383.0 8371.0 8383.0
084500 084522 8371.0 8383.0 8354.0 8354.0
084500 084522 8371.0 8383.0 8354.0 8382.0
084500 084524 8371.0 8383.0 8354.0 8380.0
084500 084527 8371.0 8383.0 8354.0 8382.0
084500 084528 8371.0 8383.0 8354.0 8380.0
084500 084528 8371.0 8383.0 8354.0 8382.0
084500 084530 8371.0 8383.0 8351.0 8351.0
084500 084533 8371.0 8383.0 8351.0 8382.0
084500 084533 8371.0 8383.0 8351.0 8382.0
084500 084533 8371.0 8383.0 8351.0 8382.0
084500 084534 8371.0 8383.0 8351.0 8383.0
084500 084534 8371.0 8383.0 8351.0 8383.0
084500 084536 8371.0 8384.0 8351.0 8384.0
084500 084536 8371.0 8384.0 8351.0 8384.0
084500 084536 8371.0 8386.0 8351.0 8386.0
084500 084539 8371.0 8391.0 8351.0 8391.0
084500 084539 8371.0 8391.0 8351.0 8391.0
084500 084539 8371.0 8392.0 8351.0 8392.0
084500 084540 8371.0 8392.0 8351.0 8392.0
084500 084540 8371.0 8392.0 8351.0 8392.0
084500 084540 8371.0 8393.0 8351.0 8393.0
084500 084540 8371.0 8393.0 8351.0 8393.0
084500 084540 8371.0 8393.0 8351.0 8393.0
084500 084540 8371.0 8393.0 8351.0 8393.0
084500 084546 8371.0 8393.0 8351.0 8393.0
084500 084546 8371.0 8393.0 8351.0 8393.0
084500 084550 8371.0 8393.0 8351.0 8393.0
084500 084551 8371.0 8393.0 8351.0 8392.0
084500 084552 8371.0 8393.0 8351.0 8392.0
084500 084552 8371.0 8393.0 8351.0 8393.0
084500 084554 8371.0 8393.0 8351.0 8392.0
084500 084556 8371.0 8393.0 8351.0 8392.0
084500 084556 8371.0 8393.0 8351.0 8392.0
084500 084556 8371.0 8393.0 8351.0 8393.0
084500 084558 8371.0 8393.0 8351.0 8393.0
084500 084558 8371.0 8393.0 8351.0 8393.0
084500 084558 8371.0 8394.0 8351.0 8394.0
084500 084558 8371.0 8394.0 8351.0 8394.0
084500 084558 8371.0 8394.0 8351.0 8394.0
084500 084558 8371.0 8394.0 8351.0 8394.0
084500 084558 8371.0 8394.0 8351.0 8394.0
084500 084558 8371.0 8394.0 8351.0 8394.0
084500 084558 8371.0 8394.0 8351.0 8394.0
084500 084558 8371.0 8394.0 8351.0 8394.0
084500 084558 8371.0 8394.0 8351.0 8394.0
084500 084559 8371.0 8394.0 8351.0 8394.0
084500 084559 8371.0 8394.0 8351.0 8394.0
084500 084600 8371.0 8394.0 8351.0 8394.0
084500 084600 8371.0 8394.0 8351.0 8394.0
084500 084600 8371.0 8394.0 8351.0 8394.0
084500 084600 8371.0 8394.0 8351.0 8394.0
084500 084600 8371.0 8394.0 8351.0 8394.0
084500 084600 8371.0 8394.0 8351.0 8394.0
084509 084609 8377.0 8394.0 8351.0 8387.0
084521 084621 8382.0 8394.0 8351.0 8387.0
084521 084621 8382.0 8394.0 8351.0 8388.0
084521 084621 8382.0 8394.0 8351.0 8388.0
084522 084622 8354.0 8394.0 8351.0 8388.0
084527 084625 8382.0 8394.0 8351.0 8386.0
084530 084629 8351.0 8394.0 8351.0 8387.0
084539 084637 8391.0 8394.0 8386.0 8388.0
084539 084639 8391.0 8394.0 8386.0 8388.0
084546 084641 8393.0 8394.0 8386.0 8387.0
084546 084643 8393.0 8394.0 8386.0 8387.0
084546 084643 8393.0 8394.0 8386.0 8387.0
084546 084643 8393.0 8394.0 8386.0 8387.0
084546 084643 8393.0 8394.0 8386.0 8387.0
084550 084647 8393.0 8394.0 8386.0 8388.0
084556 084655 8392.0 8394.0 8386.0 8387.0
084556 084656 8392.0 8394.0 8386.0 8387.0
084558 084658 8393.0 8394.0 8386.0 8388.0
084609 084707 8387.0 8388.0 8386.0 8386.0
084609 084708 8387.0 8388.0 8386.0 8386.0
084609 084708 8387.0 8388.0 8386.0 8386.0
084621 084715 8387.0 8388.0 8386.0 8387.0
084629 084726 8387.0 8388.0 8386.0 8386.0
084647 084744 8388.0 8389.0 8386.0 8389.0
084647 084745 8388.0 8390.0 8386.0 8390.0
084647 084745 8388.0 8390.0 8386.0 8390.0
084707 084801 8386.0 8390.0 8386.0 8386.0
084707 084801 8386.0 8390.0 8386.0 8386.0
084707 084801 8386.0 8390.0 8386.0 8387.0
084707 084807 8386.0 8390.0 8384.0 8384.0
084715 084811 8387.0 8390.0 8384.0 8384.0
084744 084832 8389.0 8390.0 8384.0 8387.0
084744 084841 8389.0 8390.0 8384.0 8388.0
084801 084846 8386.0 8388.0 8384.0 8388.0
084807 084903 8384.0 8391.0 8384.0 8391.0
084807 084905 8384.0 8391.0 8384.0 8391.0
084811 084909 8384.0 8392.0 8384.0 8392.0
084811 084909 8384.0 8392.0 8384.0 8392.0
084832 084921 8387.0 8393.0 8387.0 8393.0
084832 084921 8387.0 8393.0 8387.0 8393.0
084832 084921 8387.0 8393.0 8387.0 8393.0
084832 084921 8387.0 8393.0 8387.0 8393.0
084832 084921 8387.0 8393.0 8387.0 8393.0
084832 084921 8387.0 8393.0 8387.0 8393.0
084832 084921 8387.0 8393.0 8387.0 8393.0
084832 084921 8387.0 8393.0 8387.0 8393.0
084832 084921 8387.0 8393.0 8387.0 8393.0
084832 084921 8387.0 8393.0 8387.0 8393.0
084832 084921 8387.0 8393.0 8387.0 8393.0
084832 084921 8387.0 8393.0 8387.0 8393.0
084832 084921 8387.0 8394.0 8387.0 8394.0
084832 084924 8387.0 8395.0 8387.0 8395.0
084832 084930 8387.0 8395.0 8367.0 8367.0
084832 084932 8387.0 8396.0 8367.0 8396.0
084832 084932 8387.0 8396.0 8367.0 8396.0
084832 084932 8387.0 8396.0 8367.0 8396.0
084832 084932 8387.0 8396.0 8367.0 8396.0
084832 084932 8387.0 8396.0 8367.0 8396.0
084832 084932 8387.0 8396.0 8367.0 8396.0
084832 084932 8387.0 8396.0 8367.0 8396.0
084832 084932 8387.0 8396.0 8367.0 8396.0
084832 084932 8387.0 8396.0 8367.0 8396.0
084832 084932 8387.0 8396.0 8367.0 8396.0
084841 084939 8388.0 8397.0 8367.0 8397.0
084846 084942 8388.0 8399.0 8367.0 8399.0
084846 084942 8388.0 8399.0 8367.0 8399.0
084846 084942 8388.0 8399.0 8367.0 8399.0
084846 084942 8388.0 8399.0 8367.0 8399.0
084846 084942 8388.0 8399.0 8367.0 8399.0
084846 084942 8388.0 8399.0 8367.0 8399.0
084846 084942 8388.0 8399.0 8367.0 8399.0
084846 084942 8388.0 8400.0 8367.0 8400.0
084846 084942 8388.0 8400.0 8367.0 8400.0
084846 084942 8388.0 8400.0 8367.0 8400.0
084846 084942 8388.0 8400.0 8367.0 8400.0
084846 084942 8388.0 8400.0 8367.0 8400.0
084846 084942 8388.0 8400.0 8367.0 8400.0
084846 084942 8388.0 8400.0 8367.0 8400.0
084846 084942 8388.0 8400.0 8367.0 8400.0
084846 084942 8388.0 8400.0 8367.0 8400.0
084846 084943 8388.0 8400.0 8367.0 8400.0
084846 084943 8388.0 8400.0 8367.0 8400.0
084846 084943 8388.0 8400.0 8367.0 8400.0
084846 084944 8388.0 8400.0 8367.0 8399.0
084846 084944 8388.0 8401.0 8367.0 8401.0
084846 084944 8388.0 8401.0 8367.0 8401.0
084846 084945 8388.0 8401.0 8367.0 8401.0
084846 084945 8388.0 8401.0 8367.0 8401.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084947 8391.0 8402.0 8367.0 8402.0
084903 084949 8391.0 8403.0 8367.0 8403.0
084903 084950 8391.0 8403.0 8367.0 8403.0
084903 084950 8391.0 8405.0 8367.0 8405.0
084903 084952 8391.0 8405.0 8367.0 8405.0
084903 084952 8391.0 8405.0 8367.0 8405.0
084903 084952 8391.0 8405.0 8367.0 8405.0
084903 084952 8391.0 8406.0 8367.0 8406.0
084903 084953 8391.0 8407.0 8367.0 8407.0
084903 084953 8391.0 8407.0 8367.0 8407.0
084903 084953 8391.0 8407.0 8367.0 8407.0
084903 084953 8391.0 8407.0 8367.0 8407.0
084903 084953 8391.0 8407.0 8367.0 8407.0
084903 084953 8391.0 8407.0 8367.0 8407.0
084903 084953 8391.0 8407.0 8367.0 8407.0
084903 084953 8391.0 8407.0 8367.0 8407.0
084903 084953 8391.0 8407.0 8367.0 8407.0
084903 084953 8391.0 8407.0 8367.0 8407.0
084903 084958 8391.0 8407.0 8367.0 8406.0
084903 084959 8391.0 8407.0 8367.0 8406.0
084903 085000 8391.0 8407.0 8367.0 8403.0
084903 085000 8391.0 8407.0 8367.0 8403.0
084903 085000 8391.0 8407.0 8367.0 8403.0
084903 085000 8391.0 8407.0 8367.0 8403.0
084903 085000 8391.0 8407.0 8367.0 8403.0
084903 085000 8391.0 8407.0 8367.0 8403.0
084903 085000 8391.0 8407.0 8367.0 8403.0
084903 085000 8391.0 8407.0 8367.0 8403.0
084903 085000 8391.0 8407.0 8367.0 8403.0
084903 085000 8391.0 8407.0 8367.0 8404.0
084903 085001 8391.0 8407.0 8367.0 8406.0
084903 085001 8391.0 8407.0 8367.0 8406.0
084921 085010 8393.0 8407.0 8367.0 8407.0
084921 085011 8393.0 8407.0 8367.0 8380.0
084921 085011 8393.0 8407.0 8367.0 8406.0
084921 085011 8393.0 8407.0 8367.0 8406.0
084921 085011 8393.0 8407.0 8367.0 8406.0
084921 085014 8393.0 8407.0 8367.0 8378.0
084921 085014 8393.0 8407.0 8367.0 8403.0
084921 085014 8393.0 8407.0 8367.0 8404.0
084921 085015 8393.0 8407.0 8367.0 8376.0
084921 085015 8393.0 8407.0 8367.0 8402.0
084921 085015 8393.0 8407.0 8367.0 8402.0
084921 085016 8393.0 8407.0 8367.0 8375.0
084921 085016 8393.0 8407.0 8367.0 8401.0
084921 085018 8393.0 8407.0 8367.0 8376.0
084921 085018 8393.0 8407.0 8367.0 8376.0
084921 085018 8393.0 8407.0 8367.0 8402.0
084921 085018 8393.0 8407.0 8367.0 8402.0
084939 085033 8397.0 8407.0 8375.0 8402.0
084952 085052 8405.0 8407.0 8375.0 8404.0
084958 085058 8406.0 8407.0 8375.0 8376.0
084958 085058 8406.0 8407.0 8375.0 8402.0
085010 085105 8407.0 8407.0 8375.0 8375.0
085010 085105 8407.0 8407.0 8375.0 8401.0
085010 085106 8407.0 8407.0 8375.0 8376.0
085010 085106 8407.0 8407.0 8375.0 8402.0
085010 085109 8407.0 8407.0 8375.0 8377.0
085010 085109 8407.0 8407.0 8375.0 8403.0
085010 085109 8407.0 8407.0 8375.0 8403.0
085010 085109 8407.0 8407.0 8375.0 8403.0
085015 085115 8376.0 8404.0 8375.0 8402.0
085033 085119 8402.0 8404.0 8375.0 8377.0
085033 085122 8402.0 8404.0 8375.0 8399.0
085033 085122 8402.0 8404.0 8375.0 8399.0
085033 085122 8402.0 8404.0 8375.0 8399.0
085033 085122 8402.0 8404.0 8375.0 8399.0
085033 085122 8402.0 8404.0 8375.0 8399.0
085033 085122 8402.0 8404.0 8375.0 8399.0
085033 085122 8402.0 8404.0 8375.0 8400.0
085033 085122 8402.0 8404.0 8375.0 8400.0
085033 085122 8402.0 8404.0 8375.0 8400.0
085033 085122 8402.0 8404.0 8375.0 8400.0
085033 085122 8402.0 8404.0 8375.0 8400.0
085033 085122 8402.0 8404.0 8375.0 8400.0
085033 085122 8402.0 8404.0 8375.0 8400.0
085033 085122 8402.0 8404.0 8375.0 8400.0
085033 085123 8402.0 8404.0 8375.0 8399.0
085033 085123 8402.0 8404.0 8375.0 8399.0
085033 085123 8402.0 8404.0 8375.0 8399.0
