# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Number of KBar units = 4280
084500 084500 8437.0 8438.0 8437.0 8438.0
084500 084500 8437.0 8439.0 8437.0 8439.0
084500 084500 8437.0 8439.0 8437.0 8439.0
084500 084500 8437.0 8439.0 8437.0 8439.0
084500 084500 8437.0 8439.0 8437.0 8439.0
084500 084500 8437.0 8439.0 8437.0 8439.0
084500 084500 8437.0 8439.0 8437.0 8439.0
084500 084500 8437.0 8439.0 8437.0 8439.0
084500 084500 8437.0 8440.0 8437.0 8440.0
084500 084500 8437.0 8440.0 8437.0 8440.0
084500 084500 8437.0 8440.0 8437.0 8440.0
084500 084500 8437.0 8441.0 8437.0 8441.0
084500 084500 8437.0 8441.0 8437.0 8441.0
084500 084500 8437.0 8441.0 8437.0 8441.0
084500 084500 8437.0 8441.0 8437.0 8441.0
084500 084500 8437.0 8441.0 8437.0 8441.0
084500 084500 8437.0 8441.0 8437.0 8441.0
084500 084500 8437.0 8442.0 8437.0 8442.0
084500 084500 8437.0 8442.0 8437.0 8442.0
084500 084500 8437.0 8443.0 8437.0 8443.0
084500 084500 8437.0 8443.0 8437.0 8443.0
084500 084500 8437.0 8443.0 8437.0 8443.0
084500 084500 8437.0 8443.0 8437.0 8443.0
084500 084500 8437.0 8444.0 8437.0 8444.0
084500 084500 8437.0 8445.0 8437.0 8445.0
084500 084500 8437.0 8445.0 8437.0 8445.0
084500 084500 8437.0 8445.0 8437.0 8445.0
084500 084500 8437.0 8445.0 8437.0 8445.0
084500 084500 8437.0 8445.0 8437.0 8445.0
084500 084500 8437.0 8445.0 8437.0 8445.0
084500 084500 8437.0 8445.0 8437.0 8445.0
084500 084501 8437.0 8445.0 8437.0 8441.0
084500 084501 8437.0 8445.0 8437.0 8441.0
084500 084501 8437.0 8445.0 8437.0 8441.0
084500 084501 8437.0 8445.0 8437.0 8441.0
084500 084501 8437.0 8445.0 8437.0 8442.0
084500 084501 8437.0 8445.0 8437.0 8442.0
084500 084501 8437.0 8445.0 8437.0 8442.0
084500 084501 8437.0 8445.0 8437.0 8442.0
084500 084501 8437.0 8445.0 8437.0 8443.0
084500 084501 8437.0 8445.0 8437.0 8443.0
084500 084501 8437.0 8445.0 8437.0 8445.0
084500 084503 8437.0 8445.0 8437.0 8441.0
084500 084503 8437.0 8445.0 8437.0 8442.0
084500 084506 8437.0 8445.0 8437.0 8445.0
084500 084509 8437.0 8445.0 8437.0 8444.0
084500 084513 8437.0 8445.0 8437.0 8443.0
084500 084513 8437.0 8445.0 8437.0 8443.0
084500 084514 8437.0 8445.0 8437.0 8443.0
084500 084529 8437.0 8445.0 8437.0 8441.0
084500 084536 8437.0 8445.0 8437.0 8444.0
084500 084540 8437.0 8445.0 8437.0 8438.0
084500 084540 8437.0 8445.0 8437.0 8438.0
084500 084549 8437.0 8445.0 8437.0 8442.0
084500 084550 8437.0 8445.0 8437.0 8442.0
084500 084550 8437.0 8445.0 8437.0 8443.0
084500 084553 8437.0 8445.0 8437.0 8440.0
084500 084553 8437.0 8445.0 8437.0 8440.0
084500 084553 8437.0 8445.0 8437.0 8440.0
084500 084553 8437.0 8445.0 8437.0 8440.0
084500 084553 8437.0 8445.0 8437.0 8440.0
084500 084553 8437.0 8445.0 8437.0 8440.0
084500 084553 8437.0 8445.0 8437.0 8440.0
084500 084556 8437.0 8445.0 8435.0 8435.0
084501 084601 8441.0 8445.0 8434.0 8434.0
084506 084606 8445.0 8445.0 8433.0 8433.0
084509 084607 8444.0 8444.0 8432.0 8432.0
084513 084613 8443.0 8444.0 8432.0 8432.0
