# Output=[dateStart dateEnd start high low end upperBound lowerBound prediction earning]
084500 084500 8429.0 8430.0 8429.0 8430.0 0.0 0.0 0 0
084500 084501 8429.0 8460.0 8428.0 8428.0 0.0 0.0 -1 -26
084500 084501 8429.0 8460.0 8428.0 8428.0 0.0 0.0 -1 -26
084500 084501 8429.0 8460.0 8428.0 8428.0 0.0 0.0 -1 -26
084500 084501 8429.0 8460.0 8428.0 8428.0 0.0 0.0 -1 -26
084500 084501 8429.0 8460.0 8428.0 8428.0 0.0 0.0 -1 -26
084500 084501 8429.0 8460.0 8428.0 8428.0 0.0 0.0 -1 -26
084500 084501 8429.0 8460.0 8428.0 8460.0 0.0 0.0 -1 -1626
084500 084526 8429.0 8460.0 8428.0 8435.0 0.0 0.0 -1 -376
084500 084531 8429.0 8460.0 8428.0 8438.0 0.0 0.0 -1 -526
084500 084534 8429.0 8460.0 8428.0 8437.0 0.0 0.0 -1 -476
084500 084540 8429.0 8460.0 8428.0 8438.0 0.0 0.0 -1 -526
084500 084540 8429.0 8460.0 8428.0 8438.0 0.0 0.0 -1 -526
084500 084541 8429.0 8460.0 8428.0 8438.0 0.0 0.0 -1 -526
084500 084544 8429.0 8460.0 8428.0 8438.0 0.0 0.0 -1 -526
084500 084551 8429.0 8460.0 8428.0 8437.0 0.0 0.0 -1 -476
084500 084556 8429.0 8460.0 8428.0 8445.0 0.0 0.0 -1 -876
084500 084556 8429.0 8460.0 8428.0 8445.0 0.0 0.0 -1 -876
084500 084556 8429.0 8460.0 8428.0 8445.0 0.0 0.0 -1 -876
084500 084556 8429.0 8460.0 8428.0 8445.0 0.0 0.0 -1 -876
084500 084558 8429.0 8460.0 8428.0 8436.0 8456.120269901534 8420.061548280286 -1 -426
084500 084600 8429.0 8460.0 8428.0 8436.0 8456.139347778348 8420.13337949438 0 -426
084944 085026 8433.0 8433.0 8426.0 8431.0 8439.464116390729 8428.444974518363 0 -176
084944 085035 8433.0 8433.0 8402.0 8402.0 8450.21434290633 8411.876566184577 1 -1626
084944 085035 8433.0 8433.0 8402.0 8402.0 8452.268163103208 8407.00456416952 1 -1626
085026 085057 8426.0 8431.0 8401.0 8401.0 8453.692146668613 8402.671489695023 1 -1326
085026 085101 8426.0 8431.0 8401.0 8430.0 8453.483273725331 8402.607635365577 0 124
085111 085208 8431.0 8437.0 8403.0 8429.0 8452.90859098135 8399.182318109559 0 -176
085946 090016 8434.0 8441.0 8428.0 8441.0 8440.616999336506 8423.564818845314 -1 -426
085946 090021 8434.0 8441.0 8427.0 8427.0 8440.59079133223 8423.045572304134 0 274
090257 090349 8429.0 8450.0 8428.0 8441.0 8446.841797196052 8424.158202803948 0 -676
090257 090353 8429.0 8455.0 8400.0 8400.0 8456.488633133495 8416.511366866505 1 1374
090257 090353 8429.0 8455.0 8400.0 8444.0 8457.16760220534 8416.923306885568 0 674
090501 090542 8447.0 8458.0 8446.0 8449.0 8454.31183990934 8440.960887363388 0 -176
090501 090545 8447.0 8459.0 8446.0 8459.0 8457.829179600432 8440.534456763204 -1 -676
090501 090545 8447.0 8459.0 8446.0 8459.0 8458.63814599626 8440.089126731013 -1 -676
090501 090552 8447.0 8463.0 8446.0 8463.0 8460.720551198952 8439.824903346504 -1 -876
090508 090607 8446.0 8463.0 8446.0 8463.0 8462.599373023808 8439.400626976192 -1 -926
090508 090608 8446.0 8463.0 8446.0 8449.0 8462.594411971008 8439.587406210812 0 -226
090627 090714 8447.0 8447.0 8439.0 8441.0 8463.830138367808 8436.169861632192 0 -376
090853 090941 8442.0 8451.0 8434.0 8434.0 8455.28238679668 8432.172158657864 1 -476
090853 090941 8442.0 8451.0 8434.0 8435.0 8455.191456184633 8431.172180179003 0 -426
091313 091359 8436.0 8455.0 8434.0 8445.0 8454.747273236853 8428.798181308603 0 -526
091351 091436 8438.0 8455.0 8433.0 8434.0 8455.57703534947 8430.42296465053 0 -276
091351 091440 8438.0 8455.0 8428.0 8429.0 8457.222888501268 8426.595293316912 0 -526
091513 091554 8435.0 8463.0 8435.0 8455.0 8465.573893702951 8423.698833569777 0 -1076
091513 091606 8435.0 8463.0 8435.0 8454.0 8461.659697480092 8448.885757065364 0 874
091550 091647 8440.0 8463.0 8440.0 8447.0 8462.620153419306 8448.74348294433 1 274
091553 091653 8449.0 8463.0 8444.0 8444.0 8463.659304165 8446.704332198637 1 -326
091555 091655 8447.0 8459.0 8444.0 8449.0 8462.674577784039 8446.41633130687 0 24
091655 091755 8449.0 8455.0 8442.0 8455.0 8461.82629546851 8441.446431804217 0 224
091923 092006 8451.0 8457.0 8447.0 8447.0 8456.473977605096 8442.526022394904 0 124
092035 092135 8451.0 8457.0 8444.0 8445.0 8456.518839603914 8442.572069486994 0 -376
092708 092803 8449.0 8459.0 8449.0 8459.0 8459.42286489992 8442.7589532819 0 -576
092708 092803 8449.0 8474.0 8449.0 8474.0 8471.412488786314 8451.951147577322 -1 -1326
092708 092804 8449.0 8474.0 8449.0 8466.0 8471.50935357121 8452.945191883335 0 -926
092800 092825 8453.0 8474.0 8453.0 8467.0 8472.808605804003 8459.009576014178 0 624
092800 092831 8453.0 8474.0 8453.0 8467.0 8473.809913082123 8457.826450554241 0 624
092905 093000 8459.0 8475.0 8459.0 8470.0 8474.567476850829 8456.250704967351 0 -626
092932 093007 8463.0 8478.0 8463.0 8466.0 8476.739244361073 8458.260755638927 0 -226
093111 093150 8463.0 8463.0 8455.0 8460.0 8469.081810593409 8458.19091667932 0 -226
093315 093340 8464.0 8481.0 8464.0 8469.0 8479.152582093486 8461.938326997422 0 -326
093331 093421 8472.0 8481.0 8444.0 8464.0 8478.4079352228 8456.955701140836 0 -476
093641 093741 8468.0 8468.0 8442.0 8451.0 8479.545652172668 8448.181620554604 0 -926
093746 093843 8456.0 8469.0 8445.0 8445.0 8475.656628353416 8441.88882619204 0 -626
093746 093845 8456.0 8469.0 8443.0 8463.0 8475.47217270373 8441.34600911445 0 274
093834 093919 8454.0 8464.0 8436.0 8437.0 8464.949165276357 8434.232652905463 0 -926
094432 094510 8442.0 8454.0 8442.0 8453.0 8453.444942186099 8428.282330541173 -1 -626
094432 094520 8442.0 8454.0 8442.0 8442.0 8453.451418998735 8429.00312645581 0 -76
094539 094632 8441.0 8460.0 8441.0 8444.0 8455.045353534855 8434.591010101509 0 -226
094916 095008 8438.0 8451.0 8433.0 8433.0 8453.490002796876 8430.146360839488 0 -326
095659 095752 8447.0 8455.0 8446.0 8455.0 8452.751443439678 8438.794011105778 -1 -476
095726 095803 8446.0 8455.0 8443.0 8443.0 8452.710505971281 8438.925857665083 0 74
100104 100203 8451.0 8454.0 8406.0 8452.0 8467.723063521928 8428.458754659892 0 -26
100227 100324 8454.0 8457.0 8412.0 8455.0 8476.779548474975 8423.765906070481 0 -26
101631 101634 8444.0 8444.0 8443.0 8443.0 8468.013168319512 8442.89592258958 1 -126
101631 101638 8444.0 8444.0 8443.0 8443.0 8467.670410271472 8441.420498819436 1 -126
101631 101727 8444.0 8444.0 8442.0 8442.0 8468.193250494303 8439.988567687516 1 -176
101631 101729 8444.0 8450.0 8442.0 8450.0 8467.913986290636 8439.63146825482 0 224
101752 101831 8442.0 8454.0 8439.0 8454.0 8459.584708821636 8439.597109360184 0 524
102020 102020 8430.0 8431.0 8430.0 8431.0 8461.923663323332 8432.98542758576 1 -26
102020 102020 8430.0 8431.0 8430.0 8431.0 8461.648999644995 8430.896454900461 1 -26
102020 102020 8430.0 8431.0 8430.0 8431.0 8461.463392037253 8428.991153417292 1 -26
102020 102020 8430.0 8432.0 8430.0 8432.0 8460.725274604622 8427.638361759015 0 24
102020 102021 8430.0 8445.0 8423.0 8430.0 8429.023261092763 8422.249466179965 -1 -76
102020 102021 8430.0 8445.0 8423.0 8430.0 8429.670574702832 8422.147607115348 0 -76
102020 102022 8430.0 8445.0 8422.0 8422.0 8434.613598102125 8421.113674625147 1 324
102020 102022 8430.0 8445.0 8422.0 8422.0 8434.815850432587 8420.638695021957 1 -476
102020 102022 8430.0 8445.0 8422.0 8426.0 8434.803356836723 8420.742097708733 0 -276
102020 102033 8430.0 8445.0 8422.0 8428.0 8438.038207083919 8417.23452018881 0 24
102100 102153 8422.0 8427.0 8385.0 8427.0 8441.433362014377 8404.293910712895 0 174
102442 102534 8426.0 8431.0 8419.0 8431.0 8431.999423147086 8414.091485943822 0 -326
103021 103033 8425.0 8442.0 8425.0 8442.0 8432.567144868763 8408.16012785851 -1 -926
103021 103039 8425.0 8442.0 8425.0 8426.0 8432.931451607294 8408.977639301798 0 -126
103637 103732 8415.0 8415.0 8411.0 8411.0 8416.254062557084 8411.291391988372 1 -276
103637 103732 8415.0 8415.0 8411.0 8412.0 8416.26753866424 8411.096097699396 1 -226
103637 103732 8415.0 8415.0 8411.0 8413.0 8416.23324670129 8411.039480571439 0 -176
103637 103733 8415.0 8415.0 8409.0 8410.0 8416.798312623576 8409.74714192188 1 -326
103637 103733 8415.0 8415.0 8409.0 8410.0 8416.916476888417 8409.356250384311 1 -326
103637 103733 8415.0 8415.0 8409.0 8410.0 8417.0 8409.0 1 -326
103637 103733 8415.0 8415.0 8409.0 8410.0 8417.054338389678 8408.672934337594 1 -326
103637 103733 8415.0 8415.0 8409.0 8410.0 8417.118333964625 8408.42712058083 0 -326
103637 103734 8415.0 8415.0 8408.0 8408.0 8416.668577509783 8406.695058853853 1 -426
103706 103738 8414.0 8415.0 8408.0 8410.0 8416.268437198136 8406.640653710956 0 -276
103706 103748 8414.0 8415.0 8406.0 8406.0 8415.231479678863 8405.4048839575 1 -476
