# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Number of KBar units = 1386
084500 084500 8429.0 8430.0 8429.0 8430.0
084500 084500 8429.0 8435.0 8429.0 8435.0
084500 084500 8429.0 8460.0 8429.0 8460.0
084500 084501 8429.0 8460.0 8428.0 8428.0
084500 084501 8429.0 8460.0 8428.0 8428.0
084500 084501 8429.0 8460.0 8428.0 8428.0
084500 084501 8429.0 8460.0 8428.0 8428.0
084500 084501 8429.0 8460.0 8428.0 8428.0
084500 084501 8429.0 8460.0 8428.0 8428.0
084500 084501 8429.0 8460.0 8428.0 8460.0
084500 084526 8429.0 8460.0 8428.0 8435.0
084500 084531 8429.0 8460.0 8428.0 8438.0
084500 084534 8429.0 8460.0 8428.0 8437.0
084500 084540 8429.0 8460.0 8428.0 8438.0
084500 084540 8429.0 8460.0 8428.0 8438.0
084500 084541 8429.0 8460.0 8428.0 8438.0
084500 084544 8429.0 8460.0 8428.0 8438.0
084500 084551 8429.0 8460.0 8428.0 8437.0
084500 084556 8429.0 8460.0 8428.0 8445.0
084500 084556 8429.0 8460.0 8428.0 8445.0
084500 084556 8429.0 8460.0 8428.0 8445.0
084500 084556 8429.0 8460.0 8428.0 8445.0
084500 084558 8429.0 8460.0 8428.0 8436.0
084500 084600 8429.0 8460.0 8428.0 8436.0
084526 084606 8435.0 8445.0 8435.0 8435.0
084526 084608 8435.0 8445.0 8435.0 8438.0
084526 084608 8435.0 8445.0 8435.0 8438.0
084526 084610 8435.0 8445.0 8435.0 8439.0
084526 084612 8435.0 8445.0 8435.0 8441.0
084526 084614 8435.0 8445.0 8435.0 8439.0
084526 084614 8435.0 8448.0 8435.0 8448.0
084526 084615 8435.0 8448.0 8435.0 8436.0
084526 084618 8435.0 8448.0 8435.0 8435.0
084526 084621 8435.0 8448.0 8435.0 8437.0
084526 084626 8435.0 8448.0 8435.0 8435.0
084526 084626 8435.0 8448.0 8435.0 8435.0
084531 084628 8438.0 8448.0 8434.0 8434.0
084534 084632 8437.0 8448.0 8434.0 8435.0
084534 084633 8437.0 8448.0 8433.0 8433.0
084534 084633 8437.0 8448.0 8433.0 8433.0
084534 084633 8437.0 8448.0 8433.0 8433.0
084534 084634 8437.0 8448.0 8433.0 8433.0
084540 084637 8438.0 8448.0 8432.0 8432.0
084540 084639 8438.0 8448.0 8432.0 8432.0
084541 084641 8438.0 8448.0 8432.0 8432.0
084600 084700 8436.0 8448.0 8432.0 8436.0
084614 084714 8439.0 8448.0 8432.0 8438.0
084615 084715 8436.0 8438.0 8432.0 8437.0
084618 084716 8435.0 8438.0 8432.0 8437.0
084618 084718 8435.0 8438.0 8432.0 8438.0
084700 084758 8436.0 8438.0 8433.0 8433.0
084700 084758 8436.0 8438.0 8433.0 8437.0
084700 084800 8436.0 8438.0 8433.0 8437.0
084715 084815 8437.0 8438.0 8433.0 8435.0
084815 084902 8435.0 8435.0 8433.0 8433.0
084902 084923 8433.0 8433.0 8433.0 8433.0
084902 084944 8433.0 8433.0 8433.0 8433.0
084944 085026 8433.0 8433.0 8426.0 8426.0
084944 085026 8433.0 8433.0 8426.0 8431.0
084944 085035 8433.0 8433.0 8402.0 8402.0
