output/Daily_2015_10_21_MTX.txt
Configuration loaded successfully.
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
Transactions:
084852 prediction=1 earning=534
085041 prediction=1 earning=184
085129 prediction=1 earning=-66
085345 prediction=1 earning=534
085554 prediction=1 earning=-66
085802 prediction=1 earning=-116
090129 prediction=1 earning=834
090216 prediction=-1 earning=934
090219 prediction=1 earning=-116
090353 prediction=1 earning=-66
090500 prediction=1 earning=984
090522 prediction=1 earning=-66
090606 prediction=1 earning=-66
090606 prediction=1 earning=-66
090619 prediction=1 earning=-216
090637 prediction=1 earning=-216
090719 prediction=1 earning=234
090732 prediction=1 earning=-1216
090835 prediction=1 earning=-66
090922 prediction=1 earning=1284
090946 prediction=1 earning=384
091146 prediction=1 earning=734
091459 prediction=1 earning=-66
091505 prediction=1 earning=134
091508 prediction=1 earning=-66
091641 prediction=1 earning=1534
091740 prediction=-1 earning=-66
092217 prediction=1 earning=-66
092506 prediction=1 earning=-16
092940 prediction=1 earning=-116
093005 prediction=1 earning=334
093010 prediction=1 earning=634
093144 prediction=1 earning=-66
093213 prediction=1 earning=134
093637 prediction=1 earning=-66
093926 prediction=1 earning=-216
094000 prediction=1 earning=1284
094001 prediction=1 earning=-66
094029 prediction=1 earning=634
094101 prediction=1 earning=234
094311 prediction=1 earning=534
094506 prediction=1 earning=-316
094549 prediction=-1 earning=434
094605 prediction=1 earning=-316
094606 prediction=1 earning=-66
094606 prediction=1 earning=334
095102 prediction=1 earning=-166
095152 prediction=1 earning=334
095152 prediction=1 earning=334
095718 prediction=1 earning=1284
100508 prediction=1 earning=-66
102247 prediction=1 earning=634
103001 prediction=1 earning=-316
103001 prediction=1 earning=-316
103001 prediction=-1 earning=434
103001 prediction=-1 earning=434
103002 prediction=1 earning=-66
103002 prediction=1 earning=334
103003 prediction=1 earning=284
103025 prediction=1 earning=434
103025 prediction=1 earning=434
103043 prediction=1 earning=334
103134 prediction=1 earning=-66
103942 prediction=1 earning=-66
103942 prediction=1 earning=-316
104132 prediction=1 earning=1134
104458 prediction=1 earning=-66
104501 prediction=1 earning=734
104501 prediction=1 earning=-166
104502 prediction=1 earning=-116
104502 prediction=1 earning=834
104922 prediction=1 earning=-266
104934 prediction=1 earning=-216
105131 prediction=1 earning=-66
105138 prediction=1 earning=1684
105915 prediction=1 earning=134
110019 prediction=1 earning=1434
110025 prediction=-1 earning=-216
110025 prediction=-1 earning=-216
110528 prediction=1 earning=-66
110639 prediction=1 earning=284
111128 prediction=1 earning=1384
111717 prediction=1 earning=-66
112129 prediction=1 earning=1334
112922 prediction=1 earning=1484
113059 prediction=1 earning=-66
113122 prediction=1 earning=34
114256 prediction=1 earning=484
114302 prediction=1 earning=484
114430 prediction=1 earning=984
114430 prediction=1 earning=984
114437 prediction=1 earning=834
114743 prediction=1 earning=-66
115519 prediction=1 earning=984
115524 prediction=1 earning=-66
115526 prediction=1 earning=1134
115533 prediction=1 earning=1084
121306 prediction=1 earning=-66
121306 prediction=1 earning=-1316
121330 prediction=1 earning=1034
121801 prediction=-1 earning=984
121802 prediction=-1 earning=984
121803 prediction=-1 earning=984
123206 prediction=1 earning=-16
130045 prediction=-1 earning=34
131155 prediction=1 earning=-66
131719 prediction=1 earning=1034
132454 prediction=1 earning=2034
132604 prediction=1 earning=84
132634 prediction=1 earning=-16
132715 prediction=1 earning=-66
132720 prediction=1 earning=-66
133629 prediction=-1 earning=434
133652 prediction=-1 earning=434
133835 prediction=1 earning=-66
134251 prediction=1 earning=1084
134446 prediction=1 earning=1184
Profit 0: Transaction timeout
Profit 1: Stop losing.
Profit 2: Reach max wrong prediction limit
Profit 3: Remaining transactions.
-------------------------------------------------------
Profit 0 = 41570
Profit 1 = -2580
Profit 2 = -2846
Profit 3 = 1184
Final profit = 37328
