[INFO] Scanning for projects...
[INFO]                                                                         
[INFO] ------------------------------------------------------------------------
[INFO] Building tx 1.0-SNAPSHOT
[INFO] ------------------------------------------------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.4.0:java (default-cli) @ tx ---
output/Daily_2015_11_11_MTX.txt
Configuration loaded successfully.
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
Transactions:
084507 prediction=-1 earning=-416
084819 prediction=-1 earning=234
084856 prediction=-1 earning=384
085056 prediction=-1 earning=-466
085100 prediction=-1 earning=-416
085133 prediction=-1 earning=1184
085535 prediction=-1 earning=784
085716 prediction=1 earning=384
085908 prediction=1 earning=634
090215 prediction=-1 earning=984
090409 prediction=1 earning=-66
090409 prediction=-1 earning=1584
090419 prediction=-1 earning=1584
090434 prediction=-1 earning=984
090522 prediction=1 earning=534
090648 prediction=1 earning=1284
090708 prediction=-1 earning=684
090715 prediction=-1 earning=284
090830 prediction=1 earning=-66
090911 prediction=1 earning=934
091123 prediction=-1 earning=384
091209 prediction=1 earning=784
091316 prediction=-1 earning=-316
091345 prediction=1 earning=-116
091542 prediction=-1 earning=1234
091551 prediction=1 earning=-416
091620 prediction=1 earning=-66
092101 prediction=1 earning=-366
092102 prediction=1 earning=-66
092130 prediction=1 earning=-316
092130 prediction=1 earning=-216
092131 prediction=1 earning=84
092211 prediction=1 earning=-66
092212 prediction=1 earning=-366
092215 prediction=-1 earning=984
092215 prediction=-1 earning=984
092303 prediction=1 earning=634
092509 prediction=-1 earning=584
092543 prediction=1 earning=684
092759 prediction=-1 earning=-816
092817 prediction=-1 earning=734
092837 prediction=1 earning=-316
092837 prediction=1 earning=-316
092950 prediction=1 earning=-66
093001 prediction=-1 earning=484
093124 prediction=1 earning=-516
093216 prediction=1 earning=-166
093228 prediction=1 earning=-316
093240 prediction=1 earning=-316
093240 prediction=1 earning=-316
093243 prediction=1 earning=-66
093243 prediction=-1 earning=734
093334 prediction=1 earning=-166
093423 prediction=1 earning=-416
093423 prediction=1 earning=-416
093424 prediction=1 earning=-66
093428 prediction=-1 earning=1884
093431 prediction=-1 earning=1884
093440 prediction=1 earning=-466
093444 prediction=1 earning=-66
093444 prediction=-1 earning=2334
093506 prediction=1 earning=-216
093513 prediction=1 earning=-366
093517 prediction=1 earning=-216
093524 prediction=1 earning=884
093524 prediction=-1 earning=834
093524 prediction=-1 earning=834
093615 prediction=-1 earning=884
093637 prediction=1 earning=-366
093711 prediction=1 earning=-316
093755 prediction=1 earning=-66
093755 prediction=1 earning=534
093852 prediction=-1 earning=634
093908 prediction=1 earning=1484
093910 prediction=-1 earning=-16
094026 prediction=1 earning=-266
094100 prediction=1 earning=-316
094136 prediction=1 earning=-166
094140 prediction=1 earning=584
094142 prediction=1 earning=-66
094142 prediction=1 earning=584
094204 prediction=1 earning=834
094206 prediction=1 earning=984
094328 prediction=-1 earning=434
094610 prediction=-1 earning=884
094639 prediction=-1 earning=1034
094811 prediction=1 earning=84
094811 prediction=1 earning=84
094811 prediction=-1 earning=984
094811 prediction=-1 earning=1034
094811 prediction=-1 earning=1034
094844 prediction=-1 earning=884
095001 prediction=-1 earning=984
095220 prediction=-1 earning=1334
095324 prediction=-1 earning=1484
095428 prediction=1 earning=534
095431 prediction=1 earning=434
095435 prediction=-1 earning=1084
095525 prediction=-1 earning=1334
095537 prediction=-1 earning=1384
095613 prediction=-1 earning=1034
095742 prediction=1 earning=-66
095906 prediction=-1 earning=1434
100018 prediction=1 earning=1584
100032 prediction=-1 earning=334
100038 prediction=-1 earning=634
100039 prediction=-1 earning=634
100237 prediction=1 earning=1184
100300 prediction=1 earning=1284
100611 prediction=-1 earning=784
100611 prediction=-1 earning=834
100722 prediction=-1 earning=834
100931 prediction=-1 earning=1034
