
C:\work\tx>java -cp out oracle.bband.Oracle samples/SampleKBarOutput.txt 
Output = [timestamp date end upperBound MA lowerBound]
084500 8366.0 0.0 0.0 0.0
084500 8367.0 0.0 0.0 0.0
084501 8369.0 0.0 0.0 0.0
084503 8368.0 0.0 0.0 0.0
084503 8373.0 0.0 0.0 0.0
084505 8363.0 0.0 0.0 0.0
084507 8364.0 0.0 0.0 0.0
084508 8364.0 0.0 0.0 0.0
084511 8364.0 0.0 0.0 0.0
084518 8366.0 0.0 0.0 0.0
084521 8367.0 0.0 0.0 0.0
084523 8367.0 0.0 0.0 0.0
084525 8369.0 0.0 0.0 0.0
084526 8368.0 0.0 0.0 0.0
084527 8376.0 0.0 0.0 0.0
084528 8369.0 0.0 0.0 0.0
084530 8376.0 0.0 0.0 0.0
084531 8369.0 0.0 0.0 0.0
084532 8364.0 0.0 0.0 0.0
084532 8365.0 0.0 0.0 0.0
084536 8363.0 0.0 0.0 0.0
084538 8364.0 0.0 0.0 0.0
084539 8361.0 8368.345657062915 8367.318181818182 8353.654342937085
084541 8377.0 8384.790649194774 8367.09090909091 8369.209350805226
084543 8362.0 8370.81583848902 8367.545454545454 8353.18416151098
084547 8363.0 8372.084088350353 8367.227272727272 8353.915911649647
084548 8364.0 8373.244162777371 8367.0 8354.755837222629
084548 8365.0 8373.937339260532 8366.59090909091 8356.062660739468
084553 8365.0 8373.829421141047 8366.681818181818 8356.170578858953
084558 8366.0 8374.783907148496 8366.727272727272 8357.216092851504
084600 8367.0 8375.710210594185 8366.818181818182 8358.289789405815
084602 8370.0 8378.622956099902 8366.954545454546 8361.377043900098
084606 8365.0 8373.703091499743 8367.136363636364 8356.296908500257
084608 8366.0 8374.748553599462 8367.045454545454 8357.251446400538
084611 8369.0 8377.75941052396 8367.0 8360.24058947604
084614 8370.0 8378.75941052396 8367.0 8361.24058947604
084623 8372.0 8380.840178749922 8367.09090909091 8363.159821250078
084623 8381.0 8389.244206580912 8366.90909090909 8372.755793419088
084624 8373.0 8383.10359562869 8367.454545454546 8362.89640437131
084625 8372.0 8381.711967568397 8367.318181818182 8362.288032431603
084627 8374.0 8383.885292522958 8367.454545454546 8364.114707477042
084628 8374.0 8384.124840576236 8367.90909090909 8363.875159423764
084630 8390.0 8400.346477022487 8368.318181818182 8379.653522977513
084631 8374.0 8387.466824863375 8369.545454545454 8360.533175136625
084633 8373.0 8386.362090201217 8370.0 8359.637909798783
084635 8374.0 8386.81656985351 8370.545454545454 8361.18343014649
084638 8373.0 8385.600996943374 8370.40909090909 8360.399003056626
084641 8390.0 8402.089200152639 8370.90909090909 8377.910799847361
084643 8375.0 8388.964831861702 8372.136363636364 8361.035168138298
084645 8377.0 8390.545149477955 8372.636363636364 8363.454850522045
084646 8377.0 8390.234065734601 8373.181818181818 8363.765934265399
084647 8376.0 8388.823016496368 8373.727272727272 8363.176983503632
084650 8378.0 8390.397013769985 8374.181818181818 8365.602986230015
084651 8378.0 8390.081335923065 8374.681818181818 8365.918664076935
084651 8379.0 8390.976906152748 8375.045454545454 8367.023093847252
084652 8378.0 8389.23931999943 8375.681818181818 8366.76068000057
084653 8379.0 8389.443472396788 8376.227272727272 8368.556527603212
