# Too few sequence #1
# Number of KBar units = 1506
084500 084501 8366.0 8369.0 8366.0 8369.0
084500 084503 8366.0 8373.0 8366.0 8373.0
084500 084505 8366.0 8373.0 8363.0 8363.0
084500 084507 8366.0 8373.0 8363.0 8364.0
084500 084508 8366.0 8373.0 8363.0 8364.0
084500 084511 8366.0 8373.0 8363.0 8364.0
084500 084518 8366.0 8373.0 8363.0 8366.0
084500 084521 8366.0 8373.0 8363.0 8367.0
084500 084523 8366.0 8373.0 8363.0 8367.0
084500 084525 8366.0 8373.0 8363.0 8369.0
084500 084526 8366.0 8373.0 8363.0 8368.0
084500 084527 8366.0 8376.0 8363.0 8376.0
084500 084528 8366.0 8376.0 8363.0 8369.0
084500 084530 8366.0 8376.0 8363.0 8376.0
084500 084531 8366.0 8376.0 8363.0 8369.0
084500 084532 8366.0 8376.0 8363.0 8364.0
084500 084536 8366.0 8376.0 8363.0 8363.0
084500 084538 8366.0 8376.0 8363.0 8364.0
084500 084539 8366.0 8376.0 8361.0 8361.0
084500 084541 8366.0 8377.0 8361.0 8377.0
084500 084543 8366.0 8377.0 8361.0 8362.0
084500 084547 8366.0 8377.0 8361.0 8363.0
084500 084548 8366.0 8377.0 8361.0 8364.0
084500 084553 8366.0 8377.0 8361.0 8365.0
084500 084558 8366.0 8377.0 8361.0 8366.0
084500 084600 8366.0 8377.0 8361.0 8367.0
084503 084602 8373.0 8377.0 8361.0 8370.0
084507 084606 8364.0 8377.0 8361.0 8365.0
084508 084608 8364.0 8377.0 8361.0 8366.0
084511 084611 8364.0 8377.0 8361.0 8369.0
084518 084614 8366.0 8377.0 8361.0 8370.0
084523 084623 8367.0 8381.0 8361.0 8381.0
084525 084624 8369.0 8381.0 8361.0 8373.0
084525 084625 8369.0 8381.0 8361.0 8372.0
084527 084627 8376.0 8381.0 8361.0 8374.0
084528 084628 8369.0 8381.0 8361.0 8374.0
084530 084630 8376.0 8390.0 8361.0 8390.0
084531 084631 8369.0 8390.0 8361.0 8374.0
084536 084633 8363.0 8390.0 8361.0 8373.0
084536 084635 8363.0 8390.0 8361.0 8374.0
084538 084638 8364.0 8390.0 8361.0 8373.0
084541 084641 8377.0 8390.0 8362.0 8390.0
084543 084643 8362.0 8390.0 8362.0 8375.0
084547 084645 8363.0 8390.0 8363.0 8377.0
084547 084646 8363.0 8390.0 8363.0 8377.0
084547 084647 8363.0 8390.0 8363.0 8376.0
084553 084650 8365.0 8390.0 8365.0 8378.0
084553 084651 8365.0 8390.0 8365.0 8379.0
084553 084652 8365.0 8390.0 8365.0 8378.0
084553 084653 8365.0 8390.0 8365.0 8379.0
084558 084658 8366.0 8390.0 8365.0 8378.0
084602 084702 8370.0 8390.0 8365.0 8379.0
084606 084704 8365.0 8390.0 8365.0 8379.0
084623 084716 8381.0 8390.0 8372.0 8379.0
084658 084754 8378.0 8379.0 8376.0 8376.0
084754 084817 8376.0 8376.0 8376.0 8376.0
084754 084823 8376.0 8376.0 8375.0 8375.0
084754 084827 8376.0 8376.0 8375.0 8375.0
084754 084834 8376.0 8376.0 8375.0 8375.0
084754 084837 8376.0 8388.0 8375.0 8388.0
084754 084838 8376.0 8388.0 8375.0 8388.0
084754 084845 8376.0 8388.0 8374.0 8374.0
084754 084849 8376.0 8388.0 8374.0 8374.0
084817 084858 8376.0 8388.0 8374.0 8376.0
